IN,OUT,UNDIR
92,196,0
129,131,2
198,92,208
70,52,132
37,30,64
16,19,45
8,14,32
11,4,23
5,10,18
2,5,15
2,1,5
2,8,2
0,0,9
0,3,2
1,0,4
0,3,2
0,2,3
0,1,4
0,1,0
0,0,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,1
